street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Wauwinet Road	southbound	Commonwealth Avenue, North Drive						Wauwinet Road at Commonwealth Avenue, North Drive, southbound.
Wauwinet Road	southbound	Commonwealth Avenue, South Drive						Wauwinet Road at Commonwealth Avenue, South Drive, southbound.
Waverley Avenue	northbound	Washington Street						Waverley Avenue at Washington Street, northbound.
Webster Street	eastbound,westbound	Elm Street						Webster Street at Elm Street, eastbound and westbound.
Webster Street	westbound	Rowe Street						Webster Street at Rowe Street, westbound.
Webster Street	eastbound	Waltham Street						Webster Street at Waltham Street, eastbound.
Wells Avenue	westbound	Wells Avenue				from left-turn lane		Wells Avenue westbound from left-turn lane at Wells Avenue.
Wendell Road	eastbound	Parker Street						Wendell Road at Parker Street, eastbound.
Wesley Street	eastbound	Centre Street				north		Wesley Street, north, at Centre Street, eastbound.
Wesley Street	eastbound	Centre Street				south		Wesley Street, south, at Centre Street, eastbound.
Westbourne Road	southbound	Commonwealth Avenue, North Drive						Westbourne Road at Commonwealth Avenue, North Drive, southbound.
Westbourne Road	southbound	Commonwealth Avenue, South Drive						Westbourne Road at Commonwealth Avenue, South Drive, southbound.
West Street	eastbound	Middle Street						West Street at Middle Street, eastbound.
West Street	northbound	Watertown Street						West Street at Watertown Street, northbound
West Pine Street	eastbound	Freeman Street						West Pine Street at Freeman Street, eastbound.
Westchester Road	northbound	Cabot Street						Westchester Road at Cabot Street, northbound.
Westwood Street	southbound	Webster Street						Westwood Street at Webster Street, southbound.
Whittlesey Road	westbound	Parker Street						Whittlesey Road at Parker Street, westbound.
Williston Road	eastbound	Hancock Street						Williston Road at Hancock Street, eastbound.
Willow Street	westbound	Centre Street						Willow Street at Centre Street, westbound.
Wiltshire Road	westbound	Adams Street						Wiltshire Road at Adams Street, westbound.
Wiltshire Road	eastbound	Jackson Road						Wiltshire Road at Jackson Road, eastbound.
Wimbledon Circle	southbound	Commonwealth Avenue, North Drive						Wimbledon Circle at Commonwealth Avenue, North Drive, southbound.
Wimbledon Circle	southbound	Commonwealth Avenue, South Drive						Wimbledon Circle at Commonwealth Avenue, South Drive, southbound.
Winchester Road	westbound	East Side Parkway						Winchester Road at East Side Parkway, westbound.
Winchester Street	southbound,northbound	Rachel Road/Goddard Street						Winchester Street at Rachel Road/Goddard Street, southbound and northbound.
Windermere Road	southbound	Commonwealth Avenue, North Drive						Windermere Road at Commonwealth Avenue, North Drive, southbound.
Windermere Road	northbound	Commonwealth Avenue, South Drive						Windermere Road at Commonwealth Avenue, South Drive, northbound.
Windermere Road	southbound	Commonwealth Avenue, South Drive						Windermere Road at Commonwealth Avenue, South Drive, southbound.
Windermere Road	southbound	Woodland Road						Windermere Road at Woodland Road, southbound.
Windsor Road	southeastbound	Beacon Street						Windsor Road at Beacon Street, southeastbound.
Winter Street	westbound	Chestnut Street						Winter Street at Chestnut Street, westbound.
Winthrop Street	eastbound	Putnam Street						Winthrop Street at Putnam Street, eastbound.
Wiswall Road	northbound	Dedham Street						Wiswall Road at Dedham Street, northbound.
Withington Road	northbound	Cabot Street						Withington Road at Cabot Street, northbound.
Wolcott Street	eastbound	Rowe Street						Wolcott Street at Rowe Street, eastbound.
Wolcott Street Extension	westbound	Wolcott Street				near 432 Wolcott Street		Wolcott Street Extension at Wolcott Street, westbound, near 432 Wolcott Street.
Woodbine Street	southbound	Commonwealth Avenue, South Drive						Woodbine Street at Commonwealth Avenue, South Drive, southbound.
Woodchester Drive	southbound	Ward Street						Woodchester Drive at Ward Street, southbound.
Woodcliff Road	northbound	Centre Street						Woodcliff Road at Centre Street, northbound.
Woodcliff Road	northbound,southbound	Elinor Road						Woodcliff Road at Elinor Road, northbound and southbound.
Woodcliff Road	southbound	Walnut Hill Road						Woodcliff Road at Walnut Hill Road, southbound.
Woodend Road	northeastbound	Bowdoin Street						Woodend Road at Bowdoin Street, northeastbound.
Woodhaven Road	eastbound	Allen Avenue						Woodhaven Road at Allen Avenue, eastbound.
Woodland Road	northbound	Auburn Street						Woodland Road at Auburn Street, northbound.
Woodland Road	northwestbound,southeastbound	Central Street						Woodland Road at Central Street, northwestbound and southeastbound.
Woodland Road	eastbound,westbound	Grove Street						Woodland Road at Grove Street, eastbound and westbound.
Woodland Road	northeastbound,southwestbound	Hancock Street						Woodland Road at Hancock Street, northeastbound and southwestbound.
Woodland Road	eastbound	Washington Street						Woodland Road at Washington Street, eastbound.
Woodlawn Drive	southbound	Ward Street						Woodlawn Drive at Ward Street, southbound.
Woodman Road	northbound	Hammond Street						Woodman Road at Hammond Street, northbound.
Woodward Street	westbound	Beacon Street						Woodward Street at Beacon Street, westbound.
Woodward Street	northbound,southbound	Lincoln Street						Woodward Street at Lincoln Street, northbound and southbound.
Wyman Street	eastbound	Chestnut Street						Wyman Street at Chestnut Street, eastbound.
Wyoming Road	northbound,southbound	Nevada Street						Wyoming Road at Nevada Street, northbound and southbound.
YMCA Driveway	eastbound	Church Street						YMCA Driveway at Church Street, eastbound.
