street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Columbus Street	northbound	Hillside Road						Columbus Street at Hillside Road, northbound.
Columbus Street	eastbound	Lincoln Street						Columbus Street at Lincoln Street, eastbound.
Commonwealth Avenue, North Drive	eastbound		100	east	Irving Street			Commonwealth Avenue, North Drive at a point 100 feet east of Irving Street, eastbound.
Commonwealth Avenue, North Drive	eastbound		165	east	Windermere Road			Commonwealth Avenue, North Drive at a point 165 feet east of Windermere Road, eastbound.
Commonwealth Avenue, North Drive	eastbound	Auburn Street				east intersection		Commonwealth Avenue, North Drive at Auburn Street (east intersection), eastbound.
Commonwealth Avenue, North Drive	eastbound	Beaumont Avenue						Commonwealth Avenue, North Drive at Beaumont Avenue, eastbound.
Commonwealth Avenue, North Drive	eastbound	Bristol Road						Commonwealth Avenue, North Drive at Bristol Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Bristol Road						Commonwealth Avenue, North Drive, at Bristol Road, westbound.
Commonwealth Avenue, North Drive	eastbound	Bullough Park						Commonwealth Avenue, North Drive at Bullough Park, eastbound.
Commonwealth Avenue, North Drive	westbound	Bullough Park						Commonwealth Avenue, North Drive at Bullough Park, westerly.
Commonwealth Avenue, North Drive	eastbound	Cedar Street						Commonwealth Avenue, North Drive at Cedar Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Cedar Street						Commonwealth Avenue, North Drive at Cedar Street westerly.
Commonwealth Avenue, North Drive	eastbound	Chesterfield Road						Commonwealth Avenue, North Drive at Chesterfield Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Chesterfield Road						Commonwealth Avenue, North Drive at Chesterfield Road, westbound.
Commonwealth Avenue, North Drive	eastbound	Chestnut Street						Commonwealth Avenue, North Drive at Chestnut Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Chestnut Street						Commonwealth Avenue, North Drive at Chestnut Street, westbound.
Commonwealth Avenue, North Drive	southbound	Commonwealth Avenue South Drive	97	east	Centre Street			Commonwealth Avenue, North Drive at Commonwealth Avenue South Drive, 97 feet east of Centre Street, southbound.
Commonwealth Avenue, North Drive	eastbound	Commonwealth Park						Commonwealth Avenue, North Drive at Commonwealth Park, eastbound.
Commonwealth Avenue, North Drive	westbound	Commonwealth Park						Commonwealth Avenue, North Drive at Commonwealth Park, westerly.
Commonwealth Avenue, North Drive	eastbound	Dartmouth Street						Commonwealth Avenue, North Drive at Dartmouth Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Dartmouth Street						Commonwealth Avenue, North Drive at Dartmouth Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Elberta Terrace						Commonwealth Avenue, North Drive at Elberta Terrace, eastbound.
Commonwealth Avenue, North Drive	westbound	Elberta Terrace						Commonwealth Avenue, North Drive at Elberta Terrace, westbound.
Commonwealth Avenue, North Drive	eastbound	Exeter Street						Commonwealth Avenue, North Drive at Exeter Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Exeter Street						Commonwealth Avenue, North Drive at Exeter Street, westerly.
Commonwealth Avenue, North Drive	eastbound	Grafton Street						Commonwealth Avenue, North Drive at Grafton Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Grafton Street						Commonwealth Avenue, North Drive at Grafton Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Grant Avenue						Commonwealth Avenue, North Drive at Grant Avenue, eastbound.
Commonwealth Avenue, North Drive	eastbound	Hammond Street						Commonwealth Avenue, North Drive at Hammond Street, eastbound.
Commonwealth Avenue, North Drive	eastbound	Higgins Street						Commonwealth Avenue, North Drive at Higgins Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Higgins Street					source paragraph merges a second entry (at Irving Street, eastbound; missing blank line); one row per counting contract — see spec	Commonwealth Avenue, North Drive at Higgins Street, westbound. Commonwealth Avenue, North Drive at Irving Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Irving Street						Commonwealth Avenue, North Drive at Irving Street, westerly.
Commonwealth Avenue, North Drive	eastbound	Lowell Avenue						Commonwealth Avenue, North Drive at Lowell Avenue, eastbound.
Commonwealth Avenue, North Drive	westbound	Lowell Avenue						Commonwealth Avenue, North Drive at Lowell Avenue, westerly.
Commonwealth Avenue, North Drive	eastbound	Manet Road						Commonwealth Avenue, North Drive at Manet Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Manet Road						Commonwealth Avenue, North Drive at Manet Road, westerly.
Commonwealth Avenue, North Drive	eastbound	Melrose Street						Commonwealth Avenue, North Drive at Melrose Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Melrose Street						Commonwealth Avenue, North Drive at Melrose Street, westerly.
Commonwealth Avenue, North Drive	eastbound	Morseland Avenue						Commonwealth Avenue, North Drive at Morseland Avenue, eastbound.
Commonwealth Avenue, North Drive	westbound	Morseland Avenue						Commonwealth Avenue, North Drive at Morseland Avenue, westerly.
Commonwealth Avenue, North Drive	eastbound	Morton Street						Commonwealth Avenue, North Drive at Morton Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Morton Street						Commonwealth Avenue, North Drive at Morton Street, westerly.
Commonwealth Avenue, North Drive	eastbound	Mt. Alvernia Road						Commonwealth Avenue, North Drive at Mt. Alvernia Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Mt. Alvernia Road						Commonwealth Avenue, North Drive at Mt. Alvernia Road, westbound.
Commonwealth Avenue, North Drive	eastbound	Oldham Road						Commonwealth Avenue, North Drive at Oldham Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Oldham Road						Commonwealth Avenue, North Drive at Oldham Road, westerly.
Commonwealth Avenue, North Drive	eastbound	Pamela Court						Commonwealth Avenue, North Drive at Pamela Court, eastbound.
Commonwealth Avenue, North Drive	westbound	Pamela Court						Commonwealth Avenue, North Drive at Pamela Court, westbound.
Commonwealth Avenue, North Drive	eastbound	Prince Street						Commonwealth Avenue, North Drive at Prince Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Prince Street						Commonwealth Avenue, North Drive at Prince Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Robinhood Street						Commonwealth Avenue, North Drive at Robinhood Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Robinhood Street						Commonwealth Avenue, North Drive at Robinhood Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Rowe Street						Commonwealth Avenue, North Drive at Rowe Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Rowe Street						Commonwealth Avenue, North Drive at Rowe Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Sumner Street						Commonwealth Avenue, North Drive at Sumner Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Sumner Street						Commonwealth Avenue, North Drive at Sumner Street, westerly.
