street1,street2,direction,notes
Lake Avenue,Beacon Street,northbound and southbound,
Lake Avenue,Hyde Street,eastbound and westbound,
Lake Avenue,Pleasant Street,northbound,
Lake Avenue,Rogers Street,northbound and southbound,
Lake Avenue,Woodland Road,northbound,
Lakewood Road,Walnut Street,eastbound and westbound,
Lakewood Road,Lake Avenue,eastbound,
Lancaster Road,Cotton Street,eastbound,
Langdon Street,Bellevue Street,northbound,
Langdon Street,Cabot Street,northbound and southbound,
Laurel Street,Beacon Street,northbound,
Lasell Street,Hancock Street,westbound,
Lawmarissa Road,Fredana Road and Oakvale Road,northbound and southbound,
Lawmarissa Road,Moffat Road,northbound,
Lawrence Avenue,Beacon Street,northbound,
Lawrence Road,Hammond Street,northbound,
Lee Road,Reservoir Avenue,eastbound,
Lenglen Road,Washington Street,southbound,
Lenox Street,Highland Street,northbound and southbound,
Lenox Street,Sylvan Avenue,southbound,
Leslie Road,Day Street,eastbound,
Leslie Road,Washington Street,westbound,
Lewis Street,Newtonville Avenue,northbound,
Lewis Terrace,Newtonville Avenue,northbound,east side of triangle
Lewis Terrace,Newtonville Avenue,southbound,
Lincoln Road,Adams Street,eastbound,
Lincoln Road,Crafts Street,southwestbound,
Lincoln Street,Woodward Street,eastbound and westbound,
Linwood Avenue,Adams Street,eastbound and westbound,
Linwood Avenue,Nevada Street,eastbound and westbound,
Linwood Avenue,Walnut Street,eastbound and westbound,
Linwood Avenue,Watertown Street,southbound,
Lion Drive,Greenwood Street,southbound,
Littlefield Road,Greenwood Street,southbound,
Locksley Road,Hereward Road,southeastbound,
Lombard Street,Centre Street,eastbound,
Longfellow Road,Washington Street,westbound,
Long Meadow Road,Old Farm Road,northbound,
Los Angeles Street,California Street,northbound,
Los Angeles Street,California Street,southbound,
Louise Road,Florence Street,northbound,
Lowell Avenue,Walnut Street,northbound and southbound,
Lyman Street,Summer Street,eastbound,
Madison Avenue,Walnut Street,westbound,
Mandalay Road,Fellsmere Road,northwestbound and southeastbound,
Mandalay Road,Gralynn Road,eastbound and westbound,
Mandalay Road,Waverley Avenue,westbound,
Mandalay Road,Woodchester Road,eastbound,
Manemet Road,Commonwealth Avenue,northbound,South Drive
